country,year,"GNI per capita, Atlas method (current US$)","Population, total",Surface area (sq. km),Population living in slums (% of urban population),hie,near_2_plus_oceans,border_count,size
Hungary,2002,5300.0,10158608.0,93030.0,14.2,False,False,7.0,medium
Iceland,2002,30750.0,287523.0,103000.0,0.0,True,True,0.0,small
Indonesia,2002,780.0,222088495.0,1910930.0,33.47149,False,True,3.0,large
Iran,2002,1880.0,68011317.0,1745150.0,56.79227,False,False,7.0,large
Iraq,2002,1330.0,26006559.0,438320.0,35.43867,False,False,6.0,large
Ireland,2002,24920.0,3931947.0,70280.0,6.4,True,False,1.0,small
Italy,2002,20830.0,57089824.0,302069.0,0.02,True,False,6.0,large
Kazakhstan,2002,1450.0,15656677.0,2724902.0,21.67406,False,False,5.0,large
Kenya,2002,390.0,32629808.0,580370.0,61.63811,False,False,5.0,large
Kiribati,2002,1220.0,92264.0,810.0,16.8,False,False,0.0,small
Kuwait,2002,19640.0,2059974.0,17820.0,0.0,True,False,2.0,small
Kyrgyzstan,2002,290.0,4990704.0,199950.0,42.68651,False,False,4.0,medium
Laos,2002,310.0,5610889.0,236800.0,51.0,False,False,5.0,medium
Latvia,2002,3850.0,2310173.0,64594.0,2.75,False,False,4.0,small
Lebanon,2002,3940.0,4463504.0,10450.0,92.4,False,False,2.0,small
Lesotho,2002,600.0,1994679.0,30360.0,62.72729,False,False,1.0,small
Liberia,2002,250.0,3094782.0,111370.0,75.48823,False,False,3.0,small
Libya,2002,5190.0,5508410.0,1759540.0,45.26156,False,False,6.0,medium
Lithuania,2002,3830.0,3443067.0,65300.0,3.7,False,False,4.0,small
Luxembourg,2002,42520.0,446175.0,2590.0,0.0,True,False,3.0,small
Madagascar,2002,260.0,17549913.0,587040.0,89.03413,False,False,0.0,large
Malawi,2002,250.0,11880440.0,118480.0,77.89671,False,False,3.0,medium
Mali,2002,280.0,12288050.0,1240190.0,79.68152,False,False,7.0,medium
Malta,2002,10770.0,395969.0,320.0,0.0375,True,False,0.0,small
